user_id,transaction_type,category,amount,payment_mode,amount_ratio,is_anomaly
U000,Income,Tech,23565885.60195011,Unknown,1.0,0
U000,Expense,Miscellaneous,40396.0,mobile_money,0.07779008078259948,1
U000,Expense,Transport,438054.0,cash,1.0,0
U000,Expense,Food,69928.0,card,0.23498417264253021,1
U000,Expense,Education,115545.0,bank_transfer,0.32013310133877115,1
U000,Expense,Travel,521332.0,card,1.010754481033764,1
U000,Expense,Miscellaneous,521180.0,card,1.003629921335657,1
U000,Expense,Rent,261275.0,cash,4.77484968658053,1
U000,Expense,Income,371847.0,bank_transfer,0.4539995873252695,1
U000,Expense,Eating Out,56136.0,bank_transfer,0.090569836836832,1
U000,Expense,Entertainment,229045.0,bank_transfer,0.542737513565772,1
U000,Expense,Debt Payments,866378.0,bank_transfer,1.1889756215382419,1
U000,Expense,Eating Out,707179.0,Unknown,1.1409627804694673,0
U000,Expense,Gifts / Donations,187351.0,mobile_money,1.0,0
U000,Expense,Shopping,1104001.0,cash,3.8879708965920416,1
U000,Expense,Coffee,417193.0,Unknown,0.6161859341237148,0
U000,Expense,Eating Out,223946.0,mobile_money,0.36131453399353675,0
U000,Expense,Shopping,936420.0,mobile_money,3.2977992836842716,0
U000,Expense,Travel,170950.0,bank_transfer,0.3314365481741423,1
U000,Expense,Coffee,936921.0,Unknown,1.3838140658762852,0
U000,Expense,Gifts / Donations,573070.0,Unknown,3.0588040629620337,1
U000,Expense,Coffee,318306.0,bank_transfer,0.4701317614321985,1
U000,Expense,Communication,5885538.584258634,mobile_money,15.44150823430281,1
U000,Expense,Coffee,1061768.0,card,1.5682106528696993,1
U000,Expense,Health,134235.0,mobile_money,0.5436662387052615,1
U000,Expense,Shopping,342524.0,mobile_money,1.2062700517339138,0
U000,Expense,Health,219467.0,card,0.8888650382532695,0
U000,Expense,Communication,84383.0,card,0.2213902382392257,1
U000,Income,Savings,2824793.0,bank_transfer,1.0,0
U000,Expense,Shopping,283953.0,card,1.0,0
U000,Expense,Transport,9021724.807309557,bank_transfer,20.595006111825384,1
U000,Expense,Savings,981346.2148365215,Unknown,3.539967371776543,1
U000,Expense,Entertainment,422018.0,card,1.0,0
U000,Expense,Entertainment,710593.0,mobile_money,1.6837978474851785,1
U000,Expense,Rent,23065.0,bank_transfer,0.42151720608929255,1
U000,Income,Eating Out,2038613.0,cash,1.0,0
U000,Expense,Tech,294779.0,card,1.0,0
U000,Expense,Education,378687.0,card,1.0492037193013566,1
U000,Expense,Savings,277219.0,bank_transfer,1.0,0
U000,Expense,Health,360709.0,bank_transfer,1.4609103832617139,1
U000,Income,Food,2378867.0,mobile_money,1.0,0
U000,Income,Rent,2720755.0,bank_transfer,1.5461760662670836,1
U000,Expense,Insurance,141152.0,mobile_money,1.0,0
U000,Income,Debt Payments,1737501.0,cash,1.0,0
U000,Expense,Utilities,736000.0,card,1.2850889522509137,1
U000,Expense,Insurance,358750.0,mobile_money,2.541586374971662,1
U000,Expense,Food,1341954.0,Unknown,4.509466171123641,1
U000,Expense,Eating Out,532439.0,cash,0.8590372195305328,0
U000,Expense,Food,225459.0,Unknown,0.757626366831773,0
U000,Expense,Rent,54719.0,card,1.0,0
U000,Expense,Communication,675271.0,Unknown,1.7716649984717323,0
U000,Expense,Food,134073.0,Unknown,0.4505353074405382,0
U000,Expense,Food,297586.0,cash,1.0,0
U000,Income,Personal Care,1652694.0,cash,1.0,0
U000,Expense,Education,360928.0,card,1.0,0
U000,Expense,Health,274347.0,cash,1.1111349617467305,0
U000,Expense,Gifts / Donations,60762.0,card,0.3243217276662521,1
U000,Expense,Income,819047.0,bank_transfer,1.0,0
U000,Income,Travel,2023749.0,cash,1.0,0
U000,Expense,Miscellaneous,519295.0,Unknown,1.0,0
